,Unnamed: 0,multiple_deliveries,e_Time_Orderd,e_Time_Order_picked,weekday,weekend,holiday,Time_taken (min),distance,Weather conditions_Cloudy,Weather conditions_Fog,Weather conditions_Sandstorms,Weather conditions_Stormy,Weather conditions_Sunny,Weather conditions_Windy,Road_traffic_density_High,Road_traffic_density_Jam,Road_traffic_density_Low,Road_traffic_density_Medium,Vehicle_condition,Type_of_order_Buffet,Type_of_order_Drinks,Type_of_order_Meal,Type_of_order_Snack,Type_of_vehicle_electric_scooter,Type_of_vehicle_motorcycle,Type_of_vehicle_scooter,Festival,City_Metropolitian,City_Semi-Urban,City_Urban,hour,time_hour,식사,0
0,0,1.0,1900-01-01 20:10:00,1900-01-01 20:25:00,2,0,0,19,20.7,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,1,0,0,0,1,0,0,20,식사,1,[31.71274757385254]
1,1,1.0,1900-01-01 19:25:00,1900-01-01 19:35:00,4,0,1,31,25.4,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,1,0,0,19,식사,1,[32.123653411865234]
2,2,1.0,1900-01-01 12:10:00,1900-01-01 12:20:00,5,1,0,15,11.1,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,12,식사,1,[25.694866180419922]
3,3,1.0,1900-01-01 09:40:00,1900-01-01 09:55:00,6,1,0,15,4.8,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,1,9,no식사,0,[21.002901077270508]
4,4,1.0,1900-01-01 17:45:00,1900-01-01 18:00:00,3,0,0,26,11.2,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,0,17,식사,1,[25.694866180419922]
5,5,2.0,1900-01-01 19:20:00,1900-01-01 19:35:00,2,0,0,37,17.4,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,1,0,0,19,식사,1,[40.514217376708984]
6,7,1.0,1900-01-01 16:25:00,1900-01-01 16:40:00,1,0,0,26,10.3,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,1,0,0,16,no식사,0,[25.694866180419922]
7,8,2.0,1900-01-01 19:50:00,1900-01-01 19:55:00,6,1,0,40,15.3,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,1,0,0,1,0,0,19,식사,1,[40.04679489135742]
8,9,1.0,1900-01-01 22:00:00,1900-01-01 22:15:00,3,0,0,30,12.4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,22,no식사,0,[27.463144302368164]
9,10,1.0,1900-01-01 20:55:00,1900-01-01 21:00:00,1,0,0,28,15.4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,20,식사,1,[30.993988037109375]
10,11,1.0,1900-01-01 18:35:00,1900-01-01 18:40:00,2,0,0,18,13.9,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,1,18,식사,1,[25.694866180419922]
11,12,1.0,1900-01-01 20:30:00,1900-01-01 20:35:00,2,0,0,42,18.3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,20,식사,1,[31.502920150756836]
12,13,1.0,1900-01-01 09:20:00,1900-01-01 09:35:00,1,0,0,23,2.2,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,1,0,0,9,no식사,0,[20.905763626098633]
13,14,1.0,1900-01-01 20:45:00,1900-01-01 20:50:00,2,0,0,50,26.9,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,1,0,0,1,0,0,20,식사,1,[32.25479507446289]
14,15,1.0,1900-01-01 19:50:00,1900-01-01 19:55:00,6,1,0,24,7.1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,19,식사,1,[28.289257049560547]
15,16,1.0,1900-01-01 18:45:00,1900-01-01 18:50:00,6,1,0,28,5.9,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,18,식사,1,[25.694866180419922]
16,17,1.0,1900-01-01 18:35:00,1900-01-01 18:45:00,3,0,0,23,9.6,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,1,0,1,0,0,18,식사,1,[25.694866180419922]
17,18,1.0,1900-01-01 18:35:00,1900-01-01 18:45:00,0,0,0,15,12.7,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,1,18,식사,1,[25.694866180419922]
18,19,1.0,1900-01-01 23:55:00,1900-01-01 00:00:00,4,0,0,27,20.0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,1,0,0,23,no식사,0,[24.359661102294922]
19,20,1.0,1900-01-01 18:10:00,1900-01-01 18:25:00,2,0,0,26,21.4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,18,식사,1,[28.962966918945312]
20,21,1.0,1900-01-01 20:55:00,1900-01-01 21:05:00,5,1,0,35,7.0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,1,0,0,20,식사,1,[28.33777618408203]
21,22,1.0,1900-01-01 18:30:00,1900-01-01 18:45:00,0,0,0,26,19.2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,18,식사,1,[28.89350700378418]
22,23,1.0,1900-01-01 17:55:00,1900-01-01 18:00:00,2,0,0,25,14.4,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,17,식사,1,[25.694866180419922]
23,24,1.0,1900-01-01 18:25:00,1900-01-01 18:40:00,2,0,0,33,19.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,18,식사,1,[28.887195587158203]
24,25,1.0,1900-01-01 19:25:00,1900-01-01 19:30:00,6,1,0,22,7.0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,19,식사,1,[28.33777618408203]
25,26,1.0,1900-01-01 08:20:00,1900-01-01 08:25:00,5,1,0,24,3.0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,1,0,0,8,no식사,0,[20.935585021972656]
26,27,1.0,1900-01-01 18:55:00,1900-01-01 19:05:00,3,0,0,34,12.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,18,식사,1,[25.694866180419922]
27,28,1.0,1900-01-01 12:35:00,1900-01-01 12:45:00,2,0,0,29,9.4,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,12,식사,1,[25.694866180419922]
28,29,1.0,1900-01-01 09:35:00,1900-01-01 09:45:00,5,1,0,26,6.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,9,no식사,0,[21.04806137084961]
29,30,1.0,1900-01-01 19:45:00,1900-01-01 19:55:00,1,0,0,27,23.4,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,19,식사,1,[31.94879722595215]
30,31,1.0,1900-01-01 18:45:00,1900-01-01 19:00:00,1,0,0,16,9.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,18,식사,1,[25.694866180419922]
